word,tag
Finn,PER
NEW,LOC
YORK,LOC
Michael,PER
Stich,PER
U.S.,MISC
Open,MISC
Wimbledon,MISC
Tommy,PER
Haas,PER
Stich,PER
Open,MISC
ATP,ORG
U.S.,LOC
Open,MISC
French,MISC
Open,MISC
Yvegeny,PER
Kafelnikov,PER
ATP,ORG
Russia,LOC
Kafelnikov,PER
U.S.,LOC
Davis,MISC
Cup,MISC
Todd,PER
Martin,PER
U.S.,MISC
Open,MISC
U.S.,MISC
Open,MISC
Martin,PER
Stich,PER
USTA,ORG
Stich,PER
Stich,PER
Grand,MISC
Slam,MISC
Haas,PER
Grandstand,MISC
American,MISC
Malivai,PER
Washington,PER
Wimbledon,MISC
Sweden,LOC
Magnus,PER
Gustafsson,PER
French,MISC
Open,MISC
Sergi,PER
Bruguera,PER
Spain,LOC
Stich,PER
Stich,PER
U.S.,MISC
Open,MISC
American,MISC
Stich,PER
Open,MISC
Andre,PER
Agassi,PER
Agassi,PER
American,MISC
ATP,ORG
Agassi,PER
Stich,PER
Agassi,PER
French,MISC
Open,MISC
Wimbledon,MISC
Stich,PER
Kafelnikov,PER
Stich,PER
Spain,LOC
Felix,PER
Mantilla,PER
Open,MISC
Stich,PER
Jarmo,PER
Kytolehto,PER
Finland,LOC
Ford,MISC
Escort,MISC
Kenneth,PER
Eriksson,PER
Sweden,LOC
Subaru,MISC
Impreza,MISC
Thomas,PER
Radstrom,PER
Sweden,LOC
Toyota,MISC
Celica,MISC
SUGO,LOC
Japan,LOC
Yuuchi,PER
Takeda,PER
Japan,LOC
Honda,ORG
Noriyuki,PER
Haga,PER
Japan,LOC
Yamaha,ORG
Wataru,PER
Yoshikawa,PER
Japan,LOC
Yamaha,ORG
Troy,PER
Corser,PER
Australia,LOC
Ducati,ORG
John,PER
Kocinski,PER
U.S.,LOC
Ducati,ORG
Aaron,PER
Slight,PER
New,LOC
Zealand,LOC
Honda,ORG
Norihiko,PER
Fujiwara,PER
Japan,LOC
Yamaha,ORG
Carl,PER
Fogarty,PER
Britain,LOC
Honda,ORG
Akira,PER
Ryo,PER
Japan,LOC
Kawasaki,ORG
Shiya,PER
Takeishi,PER
Japan,LOC
Kawasaki,ORG
Haga,PER
Takuma,PER
Aoki,PER
Japan,LOC
Honda,ORG
Kocinski,PER
Haga,PER
Slight,PER
Fogarty,PER
Fujiwara,PER
Ryo,PER
Takeishi,PER
Yoshikawa,PER
Corser,PER
Aoki,PER
Slight,PER
Corser,PER
Kocinski,PER
Fogarty,PER
Colin,PER
Edwards,PER
U.S.,LOC
Yamaha,ORG
Pier,PER
Francesco,PER
Chili,PER
Italy,LOC
Ducati,ORG
Simon,PER
Crafar,PER
New,LOC
Zealand,LOC
Kawasaki,ORG
Anthony,PER
Gobert,PER
Australia,LOC
Kawasaki,ORG
Yoshikawa,PER
Neil,PER
Hodgson,PER
Britain,LOC
Ducati,ORG
Japanese,MISC
Noriyuki,PER
Haga,PER
Takuma,PER
Aoki,PER
Japan,LOC
Honda,ORG
Kocinski,PER
Slight,PER
Fogarty,PER
Fujiwara,PER
Ryo,PER
Takeishi,PER
Yoshikawa,PER
Corser,PER
Keiichi,PER
Kitigawa,PER
Japan,LOC
Suzuki,ORG
Aoki,PER
Slight,PER
Corser,PER
Kocinski,PER
Fogarty,PER
Colin,PER
Edwards,PER
U.S.,LOC
Yamaha,ORG
Pier,PER
Francesco,PER
Chili,PER
Italy,LOC
Ducati,ORG
Simon,PER
Crafar,PER
New,LOC
Zealand,LOC
Kawasaki,ORG
Anthony,PER
Gobert,PER
Australia,LOC
Kawasaki,ORG
Yoshikawa,PER
Neil,PER
Hodgson,PER
Britain,LOC
Ducati,ORG
JAPANESE,MISC
NINE,PER
SUGO,LOC
Japan,LOC
Yuuichi,PER
Takeda,PER
Takeda,PER
Australian,MISC
Ducati,ORG
Troy,PER
Corser,PER
Honda,ORG
Takeda,PER
Corser,PER
Yamaha,ORG
Noriyuki,PER
Haga,PER
Wataru,PER
Yoshikawa,PER
Haga,PER
Takeda,PER
Haga,PER
Yoshikawa,PER
Haga,PER
Corser,PER
Takeda,PER
Aaron,PER
Slight,PER
New,LOC
Zealand,LOC
Takeda,PER
Takuma,PER
Aoki,PER
Aoki,PER
Haruchika,PER
John,PER
Kocinski,PER
United,LOC
States,LOC
Ducati,ORG
Kocinski,PER
Aoki,PER
Takeda,PER
Takeda,PER
Kocinski,PER
Aoki,PER
Haga,PER
Slight,PER
Corser,PER
Japanese,MISC
Slight,PER
Corser,PER
Kocinski,PER
RUGBY,MISC
LEAGUE,MISC
EUROPEAN,MISC
SUPER,MISC
LEAGUE,MISC
LONDON,LOC
European,MISC
Super,MISC
League,MISC
Halifax,ORG
Leeds,ORG
London,ORG
Castleford,ORG
Wigan,ORG
St,ORG
Helens,ORG
Bradford,ORG
London,ORG
Warrington,ORG
Halifax,ORG
Sheffield,ORG
Oldham,ORG
Castleford,ORG
Leeds,ORG
Paris,ORG
Workington,ORG
EU,ORG
German,MISC
British,MISC
Peter,PER
Blackburn,PER
BRUSSELS,LOC
European,ORG
Commission,ORG
German,MISC
British,MISC
Germany,LOC
European,ORG
Union,ORG
Werner,PER
Zwingmann,PER
Britain,LOC
Commission,ORG
Nikolaus,PER
van,PER
der,PER
Pas,PER
European,ORG
Union,ORG
EU,ORG
Franz,PER
Fischler,PER
Fischler,PER
EU-wide,MISC
Britain,LOC
France,LOC
Bovine,MISC
Spongiform,MISC
Encephalopathy,MISC
BSE,MISC
Fischler,PER
EU,ORG
Spanish,MISC
Loyola,PER
de,PER
Palacio,PER
Fischler,PER
EU,ORG
France,LOC
Britain,LOC
Fischler,PER
EU,ORG
BSE,MISC
British,MISC
German,MISC
British,MISC
Europe,LOC
Germany,LOC
Welsh,ORG
National,ORG
Farmers,ORG
',ORG
Union,ORG
NFU,ORG
John,PER
Lloyd,PER
Jones,PER
BBC,ORG
radio,ORG
Bonn,LOC
British,MISC
Germany,LOC
Britain,LOC
British,MISC
Hendrix,PER
LONDON,LOC
U.S.,LOC
Jimi,PER
Hendrix,PER
Florida,LOC
Ai,MISC
n't,MISC
no,MISC
telling,MISC
Hendrix,PER
London,LOC
English,MISC
Nottingham,LOC
Hendrix,PER
Kathy,PER
Etchingham,PER
Hendrix,PER
Australian,MISC
China,LOC
Taiwan,LOC
BEIJING,LOC
China,LOC
Taipei,LOC
Taiwan,LOC
Strait,LOC
Ukraine,LOC
Taiwanese,MISC
Lien,PER
Chan,PER
Beijing,LOC
Chinese,MISC
Taiwan,LOC
Foreign,ORG
Ministry,ORG
Shen,PER
Guofang,PER
Reuters,ORG
Taiwan,LOC
China,LOC
Taipei,LOC
Tang,PER
Shubei,PER
Taiwan,LOC
People,ORG
's,ORG
Daily,ORG
Tang,PER
Shen,ORG
Reuters,ORG
Television,ORG
Tang,PER
Taiwan,LOC
Beijing,LOC
China,LOC
Taipei,LOC
Ukraine,LOC
Taiwanese,MISC
Lien,PER
China,LOC
Taiwan,LOC
BEIJING,LOC
China,LOC
Taiwan,LOC
Xinhua,ORG
Tang,PER
Shubei,PER
Association,ORG
for,ORG
Relations,ORG
Across,ORG
the,ORG
Taiwan,ORG
Straits,ORG
German,MISC
FRANKFURT,LOC
German,MISC
Federal,ORG
office,ORG
for,ORG
motor,ORG
vehicles,ORG
Germans,MISC
German,MISC
German,MISC
Volkswagen,ORG
AG,ORG
Opel,ORG
AG,ORG
General,ORG
Motors,ORG
Ford,ORG
Seat,ORG
Porsche,ORG
Seat,ORG
Porsche,ORG
GREEK,MISC
ATHENS,LOC
Greek,MISC
Costas,PER
Simitis,PER
Costas,PER
Skandalidis,PER
Costas,PER
Simitis,PER
Skandalidis,PER
Dimitris,PER
Kontogiannis,PER
Athens,ORG
Newsroom,ORG
BayerVB,ORG
C$,MISC
LONDON,LOC
Toronto,PER
Dominion,PER
BAYERISCHE,ORG
VEREINSBANK,ORG
C$,MISC
S&P,ORG
US,LOC
UK,LOC
CA,LOC
GERMAN,MISC
BAYERISCHE,ORG
VEREINSBANK,ORG
London,ORG
Newsroom,ORG
Venantius,ORG
LONDON,LOC
Lehman,ORG
Brothers,ORG
International,ORG
VENANTIUS,ORG
AB,ORG
SWEDISH,MISC
3M,ORG
S&P,ORG
LONDON,LOC
US,LOC
UK,LOC
JP,LOC
FR,LOC
ENGLISH,MISC
SWEDEN,LOC
London,ORG
Newsroom,ORG
Syria,LOC
Lloyds,ORG
Shipping,ORG
Lloyds,ORG
Shipping,ORG
Intelligence,ORG
Service,ORG
LATTAKIA,LOC
Lattakia,LOC
Tartous,LOC
Israel,LOC
Syria,LOC
Colleen,PER
Siegel,PER
JERUSALEM,LOC
Israel,LOC
Syria,LOC
Itamar,PER
Rabinovich,PER
Israel,LOC
Washington,LOC
Syria,LOC
Israel,ORG
Radio,ORG
Damascus,LOC
Syrian,MISC
Syrians,MISC
Washington,LOC
TASR,ORG
Frantisek,LOC
Gaulieder,LOC
Galanta,LOC
Slovakia,LOC
Gaulieder,PER
Vladimir,PER
Meciar,PER
Democratic,MISC
Slovakia,MISC
TASR,ORG
Gaulieder,PER
Bulgaria,LOC
SOFIA,LOC
Bulgarian,MISC
Kazanluk,LOC
Bulgaria,LOC
Kazanluk,MISC
Moslems,MISC
Islam,LOC
Ottoman,LOC
Bulgaria,LOC
Christians,MISC
Hungary,LOC
BUDAPEST,LOC
Hungarian,MISC
December,ORG
10,ORG
Budapest,PER
Bank,PER
Sandor,ORG
Tolonics,ORG
Sandor,PER
Peto,PER
Budapest,LOC
Mexico,LOC
Greenspan,LOC
MEXICO,LOC
CITY,LOC
Mexican,MISC
Greenspan,PER
Dow,MISC
Jones,LOC
Alan,PER
Greenspan,PER
IPC,MISC
Mexican,MISC
U.S.,LOC
Greenspan,PER
Mexico,LOC
U.S.,LOC
Treasury,ORG
Mexico,LOC
Simec,PER
Sidek,ORG
Mexican,ORG
ADRs,ORG
New,LOC
York,LOC
Televisa,LOC
New,LOC
York,LOC
Mexico,LOC
Carlos,PER
Ponce,PER
Santander,LOC
Ponce,PER
Mexico,LOC
Brazil,LOC
Simona,PER
de,PER
Logu,PER
RIO,LOC
DE,LOC
JANEIRO,LOC
Brazil,LOC
Farid,PER
Hakme,PER
Brazilian,MISC
Plastic,ORG
Surgery,ORG
Society,ORG
SBCP,ORG
Brazil,LOC
Hakme,PER
Latin,LOC
America,LOC
Brazil,LOC
Ivo,PER
Pitangy,PER
SBCP,ORG
Brazil,LOC
Brazil,LOC
Brazil,LOC
United,LOC
States,LOC
SBCP,ORG
Vice-President,ORG
Oswaldo,ORG
Saldanha,ORG
Brazilian,MISC
Claudia,PER
Liz,PER
Saldanha,PER
Daily,LOC
Argentine,MISC
BUENOS,LOC
AIRES,LOC
Buenos,LOC
Rosario,ORG
Bahia,ORG
Blanca,ORG
Wheat,ORG
Flint,LOC
Dent,LOC
Millet,LOC
Sunseeds,ORG
Buenos,ORG
Aires,ORG
Newsroom,ORG
Mexican,MISC
MEXICO,LOC
CITY,LOC
GMT,MISC
Communications,ORG
and,ORG
Transportation,ORG
Ministry,ORG
Tampico,LOC
Gulf,ORG
of,ORG
Mexico,ORG
Caribbean,LOC
Pacific,PER
Coast,PER
Baja,PER
California,PER
Sinaloa,LOC
Baja,ORG
California,ORG
Sonora,LOC
Mexico,LOC
Tamaulipas,LOC
Gulf,LOC
Caribbean,LOC
Quintana,LOC
Roo,LOC
Chris,PER
Aspin,PER
Mexico,LOC
City,LOC
Brazil,LOC
RIO,LOC
DE,LOC
JANEIRO,LOC
Brazilian,MISC
Hereford,ORG
Doncaster,ORG
Lincoln,ORG
Leyton,ORG
Orient,ORG
Northampton,ORG
Mansfield,ORG
Rochdale,ORG
Colchester,ORG
Scunthorpe,ORG
Torquay,ORG
Bristol,ORG
City,ORG
Blackpool,ORG
PAKISTAN,LOC
ENGLAND,LOC
LONDON,LOC
Pakistan,LOC
The,LOC
Oval,LOC
England,LOC
England,LOC
J.,PER
Crawley,PER
G.,PER
Thorpe,PER
Waqar,PER
Younis,PER
Pakistan,LOC
Saeed,PER
Anwar,PER
Ijaz,PER
Ahmed,PER
CANADIAN,MISC
OPEN,MISC
TORONTO,LOC
Canadian,MISC
Open,MISC
Wayne,PER
Ferreira,PER
South,LOC
Africa,LOC
Thomas,PER
Enqvist,PER
Sweden,LOC
Marcelo,PER
Rios,PER
Chile,LOC
Patrick,PER
Rafter,PER
Australia,LOC
Todd,PER
Martin,PER
U.S.,LOC
Alex,PER
O'Brien,PER
U.S.,LOC
Todd,PER
Woodbridge,PER
Australia,LOC
Mark,PER
Philippoussis,PER
Australia,LOC
RUGBY,ORG
UNION,ORG
NEW,LOC
ZEALAND,LOC
SOUTH,LOC
AFRICA,LOC
PRETORIA,LOC
South,LOC
Africa,LOC
New,LOC
Zealand,LOC
South,LOC
Africa,LOC
All,ORG
Blacks,ORG
Springboks,ORG
All,ORG
Blacks,ORG
Jeff,PER
Wilson,PER
New,LOC
Zealand,LOC
Ruben,PER
Kruger,PER
Joost,PER
van,PER
der,PER
Westhuizen,PER
Springboks,ORG
Joel,PER
Stransky,PER
New,LOC
Zealand,LOC
Jon,PER
Preston,PER
Zinzan,PER
Brooke,PER
RUGBY,ORG
UNION,ORG
NEW,LOC
ZEALAND,LOC
SOUTH,LOC
AFRICA,LOC
PRETORIA,LOC
South,LOC
Africa,LOC
New,LOC
Zealand,LOC
South,LOC
Africa,LOC
South,LOC
Africa,LOC
Hannes,PER
Strydom,PER
Ruben,PER
Kruger,PER
Joost,PER
van,PER
der,PER
Westhuizen,PER
Joel,PER
Stranksy,PER
Stranksy,PER
New,LOC
Zealand,LOC
Jeff,PER
Wilson,PER
Zinzan,PER
Brooke,PER
Simon,PER
Culhane,PER
Jon,PER
Preston,PER
Culhane,PER
Zinzan,PER
Brooke,PER
New,LOC
Zealand,LOC
YUGOSLAV,MISC
BELGRADE,LOC
Yugoslav,MISC
Cukaricki,ORG
Hajduk,ORG
Becej,ORG
Borac,ORG
Mladost,ORG
(,ORG
L,ORG
),ORG
Zemun,ORG
Rad,ORG
Buducnost,ORG
(,ORG
P,ORG
),ORG
Becej,ORG
Partizan,ORG
Vojvodina,ORG
Red,ORG
Star,ORG
Mladost,ORG
(,ORG
L,ORG
),ORG
Rad,ORG
Hajduk,ORG
Cukaricki,ORG
Buducnost,ORG
Zemun,ORG
Proleter,ORG
Borac,ORG
Sutjeska,ORG
Sloboda,ORG
Loznica,ORG
Obilic,ORG
OFK,ORG
Kikinda,ORG
Radnicki,ORG
(,ORG
N,ORG
),ORG
Spartak,ORG
Buducnost,ORG
(,ORG
V,ORG
),ORG
OFK,ORG
Beograd,ORG
Mladost,ORG
(,ORG
BJ,ORG
),ORG
Obilic,ORG
Loznica,ORG
Sutjeska,ORG
OFK,ORG
Kikinda,ORG
Buducnost,ORG
(,ORG
V,ORG
),ORG
Spartak,ORG
Zeleznik,ORG
OFK,ORG
Beograd,ORG
Radnicki,ORG
Sloboda,ORG
Mladost,ORG
(,ORG
BJ,ORG
),ORG
Rudar,ORG
POLISH,MISC
WARSAW,LOC
Polish,MISC
Amica,ORG
Wronki,ORG
Hutnik,ORG
Krakow,ORG
Sokol,ORG
Tychy,ORG
Lech,ORG
Poznan,ORG
Rakow,ORG
Czestochowa,ORG
Stomil,ORG
Olsztyn,ORG
Wisla,ORG
Krakow,ORG
Gornik,ORG
Zabrze,ORG
Slask,ORG
Wroclaw,ORG
Odra,ORG
Wodzislaw,ORG
GKS,ORG
Katowice,ORG
Polonia,ORG
Warsaw,ORG
Zaglebie,ORG
Lubin,ORG
LKS,ORG
Lodz,ORG
Legia,ORG
Warsaw,ORG
GKS,ORG
Belchatow,ORG
PHILIPPINE,MISC
MANILA,LOC
Gorst,PER
MP,ORG
Gorst,PER
Major,PER
House,ORG
of,ORG
Commons,ORG
Gorst,PER
House,ORG
of,ORG
Commons,ORG
Electronic,ORG
Data,ORG
LONDON,LOC
Electronic,ORG
Data,ORG
Systems,ORG
Private,ORG
Finance,ORG
Initiative,ORG
EDS,PER
Oceanic,LOC
Control,LOC
Centre,LOC
Prestwick,LOC
Scotland,LOC
National,ORG
Air,ORG
Traffic,ORG
Services,ORG
Ltd,ORG
NATS,ORG
Civil,ORG
Aviation,ORG
Authority,ORG
Europe,LOC
North,LOC
America,LOC
London,ORG
Newsroom,ORG
RTRS,ORG
Australia-West,LOC
Indies,LOC
MELBOURNE,LOC
World,MISC
Series,MISC
West,LOC
Indies,LOC
Australia,LOC
West,PER
Indies,PER
Sherwin,PER
Campbell,PER
Shivnarine,PER
Chanderpaul,PER
Sydney,ORG
Newsroom,ORG
Pakistan,LOC
New,LOC
Zealand,LOC
SIALKOT,LOC
Pakistan,LOC
Pakistan,LOC
New,LOC
Zealand,LOC
Pakistan,LOC
New,LOC
Zealand,LOC
Manitoba,ORG
Pork,ORG
WINNIPEG,LOC
Manitoba,ORG
Pork,ORG
Canadian,MISC
Cwt,MISC
CLOSING,PER
RANGE,PER
Feb,ORG
Mar,ORG
Apr,ORG
Jun,ORG
Sep,ORG
Nov,ORG
Price,PER
Index,PER
C$,MISC
Manitoba,LOC
CAN,LOC
U.S.,LOC
Manitoba,ORG
Pork,ORG
Winnipeg,LOC
Canadian,ORG
West,ORG
Coast,ORG
Vessel,ORG
Loadings,ORG
CWB,PER
WINNIPEG,LOC
Canadian,ORG
Wheat,ORG
Board,ORG
Canadian,MISC
West,MISC
Coast,MISC
West,LOC
Coast,LOC
Thunder,LOC
Bay,LOC
East,LOC
Coast,LOC
Loading,PER
Waiting,PER
Vancouver,ORG
Prince,ORG
Rupert,ORG
Gilbert,PER
Le,PER
Gras,PER
New,LOC
York,LOC
NEW,LOC
YORK,LOC
New,LOC
York,LOC
New,ORG
York,ORG
Commodities,ORG
Desk,ORG
New,LOC
York,LOC
NEW,LOC
YORK,LOC
Dampier,LOC
China,LOC
Steel,LOC
New,ORG
York,ORG
Commodities,ORG
Desk,ORG
GMT,MISC
NEW,LOC
YORK,LOC
WESTERN,LOC
HEMISPHERE,LOC
Danila,ORG
Caribs,LOC
New,ORG
York,ORG
Commodities,ORG
Desk,ORG
GMT,MISC
NEW,LOC
YORK,LOC
MIDEAST,LOC
RED,LOC
SEA,LOC
Thai,ORG
Resource,ORG
Ras,PER
Tanura,PER
Augusta,LOC
Spetses,ORG
Mesipia,ORG
New,ORG
York,ORG
Commodities,ORG
Desk,ORG
NYC,ORG
Jan,ORG
Euro,MISC
NEW,LOC
YORK,LOC
New,LOC
York,LOC
City,LOC
European,MISC
Goldman,ORG
",",ORG
Sachs,ORG
November,LOC
New,ORG
York,ORG
City,ORG
U.S.,LOC
European,MISC
London,ORG
Stock,ORG
Exchange,ORG
January,LOC
Joan,PER
Gralla,PER
USDA,ORG
DES,LOC
MOINES,LOC
USDA,ORG
Wall,LOC
St,LOC
Santa,MISC
Fe,MISC
Brendan,PER
Intindola,PER
NEW,LOC
YORK,LOC
Homestake,ORG
Mining,ORG
Co,ORG
Wall,LOC
Street,LOC
Santa,ORG
Fe,ORG
Pacific,ORG
Gold,ORG
Corp,ORG
Santa,ORG
Fe,ORG
Newmont,ORG
Mining,ORG
Corp,ORG
Santa,PER
Fe,PER
Newmont,LOC
Wall,LOC
Street,LOC
Newmont,LOC
Santa,PER
Fe,PER
Newmont,PER
Santa,PER
Fe,PER
Newmont,PER
Santa,ORG
Fe,ORG
Nevada,LOC
Newmont,LOC
CHICAGO,ORG
CINCINNATI,ORG
PITTSBURGH,ORG
WESTERN,MISC
DIVISION,MISC
SAN,ORG
DIEGO,ORG
LOS,ORG
ANGELES,ORG
COLORADO,ORG
SAN,ORG
FRANCISCO,ORG
ST,ORG
LOUIS,ORG
COLORADO,LOC
CINCINNATI,ORG
ATLANTA,LOC
PITTSBURGH,ORG
HOUSTON,LOC
PHILADELPHIA,ORG
LOS,LOC
ANGELES,LOC
MONTREAL,ORG
SAN,LOC
FRANCISCO,LOC
MAJOR,MISC
LEAGUE,MISC
NEW,LOC
YORK,LOC
Major,MISC
League,MISC
American,MISC
League,MISC
California,ORG
NEW,ORG
YORK,ORG
DETROIT,ORG
Chicago,ORG
Milwaukee,ORG
MINNESOTA,ORG
BOSTON,ORG
Oakland,ORG
BALTIMORE,ORG
Seattle,ORG
Texas,ORG
CLEVELAND,ORG
Toronto,ORG
KANSAS,ORG
CITY,ORG
National,MISC
League,MISC
CHICAGO,ORG
Florida,ORG
SAN,ORG
FRANCISCO,ORG
New,ORG
York,ORG
ATLANTA,ORG
Cincinnati,ORG
Pittsburgh,ORG
HOUSTON,ORG
COLORADO,ORG
St,ORG
Louis,ORG
Philadelphia,ORG
LOS,ORG
ANGELES,ORG
SAN,ORG
DIEGO,ORG
Montreal,ORG
GREER,PER
TEXAS,ORG
INDIANS,ORG
CLEVELAND,LOC
Rusty,PER
Greer,PER
Texas,ORG
Rangers,ORG
Cleveland,ORG
Indians,ORG
Greer,PER
Julian,PER
Tavarez,PER
Greer,PER
Ivan,PER
Rodriguez,PER
Mickey,PER
Cochrane,PER
Johnny,PER
Bench,PER
Terry,PER
Kennedy,PER
Rangers,ORG
Indians,ORG
American,MISC
League,MISC
Western,MISC
Jacobs,LOC
Field,LOC
Yankees,ORG
A.L.,MISC
Central,MISC
Cleveland,ORG
Indians,ORG
Kenny,PER
Lofton,PER
Ed,PER
Vosberg,PER
Dean,PER
Palmer,PER
Rangers,ORG
Baltimore,LOC
Cal,PER
Ripken,PER
Bobby,PER
